id,label,flower_diameter,flower_width,location,geo,geo_2,ratio,ratio averages,,
1,SanFelipe1,2.065,1.096,SanFelipe,D1,North,1.884124088,2.095043752,,
2,SanFelipe2,2.799,1.205,SanFelipe,D1,North,2.322821577,,,ratio (diameter:width)
3,SanFelipe3,2.516,1.087666667,SanFelipe,D1,North,2.313208704,,,
4,SanFelipe4,1.869,0.893,SanFelipe,D1,North,2.092945129,,,
5,SanFelipe5,1.837,0.839333333,SanFelipe,D1,North,2.188641779,,,
6,SanFelipe6,2.376,1.380333333,SanFelipe,D1,North,1.721323352,,,
7,SanFelipe7,2.721,1.249,SanFelipe,D1,North,2.178542834,,,
8,SanFelipe8,2.337,1.166666667,SanFelipe,D1,North,2.003142857,,,
9,SanFelipe9,1.894,0.880666667,SanFelipe,D1,North,2.150643452,,,
10,LasAnimas1,2.033,1.016666667,LasAnimas,E1,Middle,1.999672131,1.700903486,,
11,LasAnimas2,1.777,0.936333333,LasAnimas,E1,Middle,1.897828409,,,
12,LasAnimas3,1.309,1.07,LasAnimas,E1,Middle,1.223364486,,,
13,LasAnimas4,2.231,1.299333333,LasAnimas,E1,Middle,1.717034377,,,
14,LasAnimas5,2.544,1.780333333,LasAnimas,E1,Middle,1.42894589,,,
15,LasAnimas6,1.562,0.719666667,LasAnimas,E1,Middle,2.170449282,,,
16,LasAnimas7,2.347,1.637666667,LasAnimas,E1,Middle,1.433136576,,,
17,LasAnimas8,2.764,1.509333333,LasAnimas,E1,Middle,1.831272085,,,
18,LasAnimas9,2.649,1.649,LasAnimas,E1,Middle,1.606428138,,,
19,SantaCruz1,1.764,1.014666667,SantaCruz,E2,Middle,1.738501971,1.579744277,,
20,SantaCruz2,1.989,1.300333333,SantaCruz,E2,Middle,1.529607793,,,
21,SantaCruz3,1.962,1.257666667,SantaCruz,E2,Middle,1.560031805,,,
22,SantaCruz4,1.266,0.897,SantaCruz,E2,Middle,1.411371237,,,
23,SantaCruz5,2.316,1.186,SantaCruz,E2,Middle,1.952782462,,,
24,SantaCruz6,1.797,1.494,SantaCruz,E2,Middle,1.202811245,,,
25,SantaCruz7,2.214,1.288333333,SantaCruz,E2,Middle,1.718499353,,,
26,SantaCruz8,1.493,0.99,SantaCruz,E2,Middle,1.508080808,,,
27,SantaCruz9,2.161,1.354,SantaCruz,E2,Middle,1.596011817,,,
28,SanIgnacio1,2.057,0.892,SanIgnacio,B,South,2.306053812,1.645261324,,
29,SanIgnacio2,2.186,1.322333333,SanIgnacio,B,South,1.653138392,,,
30,SanIgnacio3,1.324,1.094666667,SanIgnacio,B,South,1.209500609,,,
31,SanIgnacio4,2.068,1.462666667,SanIgnacio,B,South,1.413855971,,,
32,SanIgnacio5,1.716,1.535333333,SanIgnacio,B,South,1.117672601,,,
33,SanIgnacio6,2.262,1.611666667,SanIgnacio,B,South,1.403516029,,,
34,SanIgnacio7,2.853,1.431333333,SanIgnacio,B,South,1.99324639,,,
35,SanIgnacio8,2.417,1.203666667,SanIgnacio,B,South,2.008031016,,,
36,SanIgnacio9,2.356,1.449,SanIgnacio,B,South,1.62594893,,,
37,SanCarlos1,2.338,1.358,SanCarlos,C,South,1.721649485,1.785817503,,
38,SanCarlos2,1.685,0.985333333,SanCarlos,C,South,1.710081191,,,
39,SanCarlos3,1.967,1.242,SanCarlos,C,South,1.58373591,,,
40,SanCarlos4,2.039,1.113,SanCarlos,C,South,1.831985624,,,
41,SanCarlos5,1.957,1.095666667,SanCarlos,C,South,1.786127168,,,
42,SanCarlos6,2.529,1.16,SanCarlos,C,South,2.180172414,,,
43,SanCarlos7,2.204,1.115666667,SanCarlos,C,South,1.975500448,,,
44,SanCarlos8,2.339,1.44,SanCarlos,C,South,1.624305556,,,
45,SanCarlos9,1.64,0.988666667,SanCarlos,C,South,1.65879973,,,
46,LosAngeles1,1.58,0.852666667,LosAngeles,E1,Middle,1.853010164,1.879478839,,
47,LosAngeles2,1.497,1.089666667,LosAngeles,E1,Middle,1.373814622,,,
48,LosAngeles3,1.682,0.856,LosAngeles,E1,Middle,1.964953271,,,
49,LosAngeles4,2.358,1.316666667,LosAngeles,E1,Middle,1.790886076,,,
50,LosAngeles5,1.697,1.23,LosAngeles,E1,Middle,1.379674797,,,
51,LosAngeles6,1.765,1.141666667,LosAngeles,E1,Middle,1.545985401,,,
52,LosAngeles7,2.034,0.658666667,LosAngeles,E1,Middle,3.08805668,,,
53,LosAngeles8,2.121,0.99,LosAngeles,E1,Middle,2.142424242,,,
54,LosAngeles9,1.86,1.047,LosAngeles,E1,Middle,1.776504298,,,
55,LasLisas1,2.182,1.352333333,LasLisas,D2,North,1.613507518,1.767400004,,
56,LasLisas2,2.3,1.544333333,LasLisas,D2,North,1.489315778,,,
57,LasLisas3,2.63,1.285333333,LasLisas,D2,North,2.046161826,,,
58,LasLisas4,1.384,0.675666667,LasLisas,D2,North,2.048347311,,,
59,LasLisas5,1.493,0.761666667,LasLisas,D2,North,1.960175055,,,
60,LasLisas6,1.147,0.727666667,LasLisas,D2,North,1.576271186,,,
61,LasLisas7,1.699,1.042666667,LasLisas,D2,North,1.629475703,,,
62,LasLisas8,1.701,0.972,LasLisas,D2,North,1.75,,,
63,LasLisas9,1.617,0.901666667,LasLisas,D2,North,1.793345656,,,
64,SantaRosa1,1.669,1.059333333,SantaRosa,E2,Middle,1.575519194,1.608820072,,
65,SantaRosa2,1.594,1.044,SantaRosa,E2,Middle,1.526819923,,,
66,SantaRosa3,1.529,1.026666667,SantaRosa,E2,Middle,1.489285714,,,
67,SantaRosa4,1.646,0.961333333,SantaRosa,E2,Middle,1.71220527,,,
68,SantaRosa5,1.735,0.888666667,SantaRosa,E2,Middle,1.952363091,,,
69,SantaRosa6,1.437,0.827666667,SantaRosa,E2,Middle,1.736206202,,,
70,SantaRosa7,1.521,0.988666667,SantaRosa,E2,Middle,1.538435604,,,
71,SantaRosa8,1.39,0.879,SantaRosa,E2,Middle,1.581342435,,,
72,SantaRosa9,1.359,0.994,SantaRosa,E2,Middle,1.367203219,,,
