id	label	area	mean	min	max	perim	length	location
1	LasAnimas1	0.103	148.076	84.667	232.667	2.588	2.588	LasAnimas
2	LasAnimas2	0.079	129.257	65.333	243	2.039	2.039	LasAnimas
3	LasAnimas3	0.075	125.644	76.213	250.333	1.986	1.986	LasAnimas
4	LasAnimas4	0.084	96.394	67.653	133.833	2.309	2.309	LasAnimas
5	LasAnimas5	0.085	174.383	64.907	254.667	2.333	2.333	LasAnimas
6	LasAnimas6	0.106	114.514	53.667	216.667	2.742	2.742	LasAnimas
7	LasAnimas7	0.099	168.606	77.66	254.667	2.744	2.744	LasAnimas
8	LasAnimas8	0.099	112.825	64.333	250.458	2.708	2.708	LasAnimas
9	LasAnimas9	0.091	132.867	86.333	254.333	2.399	2.399	LasAnimas
10	LasAnimas10	0.106	118.797	53.333	233.893	2.79	2.79	LasAnimas
11	LasAnimas11	0.079	127.409	57.333	201.16	2.049	2.049	LasAnimas
12	LasAnimas12	0.073	133.065	97.667	212.667	1.954	1.954	LasAnimas
13	LasAnimas13	0.083	136.878	90.667	235.457	2.17	2.17	LasAnimas
14	LasAnimas14	0.064	134.73	51	253.667	1.639	1.639	LasAnimas
15	LasAnimas15	0.057	120.128	79.08	219.157	1.539	1.539	LasAnimas
16	SanCarlos1	0.096	152.647	100.26	242	2.524	2.524	SanCarlos
17	SanCarlos2	0.111	137.186	75.967	243.667	3.003	3.003	SanCarlos
18	SanCarlos3	0.099	161.494	95.333	235.6	2.698	2.698	SanCarlos
19	SanCarlos4	0.085	120.185	72.773	170	2.375	2.375	SanCarlos
20	SanCarlos5	0.092	154.024	80	254.667	2.372	2.372	SanCarlos
21	SanCarlos6	0.092	180.657	65.98	254	2.492	2.492	SanCarlos
22	SanCarlos7	0.079	100.034	44	200	2.152	2.152	SanCarlos
23	SanCarlos8	0.093	173.602	39.333	254	2.473	2.473	SanCarlos
24	SanCarlos9	0.092	154.479	63.147	244	2.342	2.342	SanCarlos
25	SanCarlos10	0.066	108.897	67.333	141.333	1.721	1.721	SanCarlos
26	SanCarlos11	0.116	162.527	100	253	3.131	3.131	SanCarlos
27	SanCarlos12	0.111	151.682	92.46	246.333	2.966	2.966	SanCarlos
28	SanCarlos13	0.117	127.421	86	222.333	3.1	3.1	SanCarlos
29	SanCarlos14	0.136	138.687	94.173	215.873	3.622	3.622	SanCarlos
