id,label,lf_length,lf_width,location,geo_1,geo_2,ratio(l:w)
1,SanFelipe1,16.338,1.386666667,SanFelipe,EastBaja,North,11.78221154
2,SanFelipe2,13.126,1.831,SanFelipe,EastBaja,North,7.16876024
3,SanFelipe3,12.225,1.749,SanFelipe,EastBaja,North,6.989708405
4,SanFelipe4,12.912,1.936,SanFelipe,EastBaja,North,6.669421488
5,SanFelipe5,13.097,1.842666667,SanFelipe,EastBaja,North,7.107633863
6,SanFelipe6,14.649,1.725333333,SanFelipe,EastBaja,North,8.490533232
7,SanFelipe7,16.905,1.556666667,SanFelipe,EastBaja,North,10.85974304
8,SanFelipe8,14.777,1.615333333,SanFelipe,EastBaja,North,9.14795708
9,SanFelipe9,16.91,1.778333333,SanFelipe,EastBaja,North,9.508903469
10,SanFelipe10,16.965,1.779333333,SanFelipe,EastBaja,North,9.534469841
11,SanFelipe11,14.48,1.589,SanFelipe,EastBaja,North,9.112649465
12,SanFelipe12,14.333,1.229666667,SanFelipe,EastBaja,North,11.65600433
13,SanFelipe13,14.238,1.311,SanFelipe,EastBaja,North,10.8604119
14,SanFelipe14,13.023,1.283,SanFelipe,EastBaja,North,10.15042868
15,SanFelipe15,14.259,1.386666667,SanFelipe,EastBaja,North,10.28293269
16,LasAnimas1,25.811,1.564666667,LasAnimas,EastBaja,Middle,16.49616532
17,LasAnimas2,20.216,1.32,LasAnimas,EastBaja,Middle,15.31515152
18,LasAnimas3,19.481,1.595,LasAnimas,EastBaja,Middle,12.2137931
19,LasAnimas4,24.747,1.485,LasAnimas,EastBaja,Middle,16.66464646
20,LasAnimas5,20.25,1.32,LasAnimas,EastBaja,Middle,15.34090909
21,LasAnimas6,27.755,1.327333333,LasAnimas,EastBaja,Middle,20.91034656
22,LasAnimas7,26.318,1.835333333,LasAnimas,EastBaja,Middle,14.3396295
23,LasAnimas8,24.03,0.994,LasAnimas,EastBaja,Middle,24.1750503
24,LasAnimas9,23.006,1.214666667,LasAnimas,EastBaja,Middle,18.94017563
25,LasAnimas10,25.722,1.554666667,LasAnimas,EastBaja,Middle,16.54502573
26,LasAnimas11,20.698,1.709333333,LasAnimas,EastBaja,Middle,12.10881435
27,LasAnimas12,20.234,1.509333333,LasAnimas,EastBaja,Middle,13.40591873
28,LasAnimas13,19.802,1.177,LasAnimas,EastBaja,Middle,16.82412914
29,LasAnimas14,14.403,1.32,LasAnimas,EastBaja,Middle,10.91136364
30,LasAnimas15,15.433,1.231333333,LasAnimas,EastBaja,Middle,12.53356795
31,SantaCruz1,22.419,1.217333333,SantaCruz,Sonora,Middle,18.41648412
32,SantaCruz2,21.036,1.278666667,SantaCruz,Sonora,Middle,16.45151199
33,SantaCruz3,25.925,1.32,SantaCruz,Sonora,Middle,19.64015152
34,SantaCruz4,27.482,1.213,SantaCruz,Sonora,Middle,22.65622424
35,SantaCruz5,23.533,1.280333333,SantaCruz,Sonora,Middle,18.3803697
36,SantaCruz6,17.671,1.033666667,SantaCruz,Sonora,Middle,17.09545308
37,SantaCruz7,15.582,1.049666667,SantaCruz,Sonora,Middle,14.84471261
38,SantaCruz8,18.587,1.214,SantaCruz,Sonora,Middle,15.31054366
39,SantaCruz9,15.203,1.1,SantaCruz,Sonora,Middle,13.82090909
40,SantaCruz10,16.351,1.208333333,SantaCruz,Sonora,Middle,13.53186207
41,SantaCruz11,16.21,1.485,SantaCruz,Sonora,Middle,10.91582492
42,SantaCruz12,18.9,1.392666667,SantaCruz,Sonora,Middle,13.57108664
43,SantaCruz13,15.983,1.21,SantaCruz,Sonora,Middle,13.20909091
44,SantaCruz14,15.688,1.163,SantaCruz,Sonora,Middle,13.48925193
45,SantaCruz15,17.239,1.375,SantaCruz,Sonora,Middle,12.53745455
46,SanIgnacio1,18.326,1.065666667,SanIgnacio,WestBaja,South,17.19674695
47,SanIgnacio2,18.034,1.272333333,SanIgnacio,WestBaja,South,14.17395861
48,SanIgnacio3,19.354,1.08,SanIgnacio,WestBaja,South,17.92037037
49,SanIgnacio4,16.681,0.861,SanIgnacio,WestBaja,South,19.37398374
50,SanIgnacio5,18.491,0.846333333,SanIgnacio,WestBaja,South,21.8483655
51,SanIgnacio6,26.3,1.320333333,SanIgnacio,WestBaja,South,19.91921232
52,SanIgnacio7,18.52,1.155,SanIgnacio,WestBaja,South,16.03463203
53,SanIgnacio8,24.685,1.268333333,SanIgnacio,WestBaja,South,19.46254928
54,SanIgnacio9,17.102,0.88,SanIgnacio,WestBaja,South,19.43409091
55,SanIgnacio10,19.449,1.112666667,SanIgnacio,WestBaja,South,17.47962852
56,SanIgnacio11,21.68,1.32,SanIgnacio,WestBaja,South,16.42424242
57,SanIgnacio12,25.96,1.326666667,SanIgnacio,WestBaja,South,19.5678392
58,SanIgnacio13,17.68,1.063,SanIgnacio,WestBaja,South,16.6321731
59,SanIgnacio14,21.272,1.039666667,SanIgnacio,WestBaja,South,20.46040398
60,SanIgnacio15,16.476,1.21,SanIgnacio,WestBaja,South,13.61652893
61,SanCarlos1,25.339,1.434,SanCarlos,WestBaja,South,17.67015342
62,SanCarlos2,28.149,1.511333333,SanCarlos,WestBaja,South,18.62527569
63,SanCarlos3,26.163,1.104666667,SanCarlos,WestBaja,South,23.68406759
64,SanCarlos4,23.35,1.43,SanCarlos,WestBaja,South,16.32867133
65,SanCarlos5,23.413,1.375,SanCarlos,WestBaja,South,17.02763636
66,SanCarlos6,23.805,0.903333333,SanCarlos,WestBaja,South,26.35239852
67,SanCarlos7,22.185,1.214666667,SanCarlos,WestBaja,South,18.26427003
68,SanCarlos8,22.852,1.158,SanCarlos,WestBaja,South,19.73402418
69,SanCarlos9,22.956,0.978666667,SanCarlos,WestBaja,South,23.45640327
70,SanCarlos10,20.042,1.21,SanCarlos,WestBaja,South,16.56363636
71,SanCarlos11,28.179,1.445,SanCarlos,WestBaja,South,19.50103806
72,SanCarlos12,28.448,1.43,SanCarlos,WestBaja,South,19.89370629
73,SanCarlos13,30.963,1.323333333,SanCarlos,WestBaja,South,23.397733
74,SanCarlos14,34.486,1.542666667,SanCarlos,WestBaja,South,22.35479689
75,SanCarlos15,28.921,1.32,SanCarlos,WestBaja,South,21.90984848
76,LosAngeles1,27.253,1.427,LosAngeles,EastBaja,Middle,19.09810792
77,LosAngeles2,24.931,1.375,LosAngeles,EastBaja,Middle,18.13163636
78,LosAngeles3,26.056,1.390333333,LosAngeles,EastBaja,Middle,18.74082954
79,LosAngeles4,19.749,1.265,LosAngeles,EastBaja,Middle,15.61185771
80,LosAngeles5,24.58,1.104666667,LosAngeles,EastBaja,Middle,22.25105613
81,LosAngeles6,28.517,1.337,LosAngeles,EastBaja,Middle,21.32909499
82,LosAngeles7,24.467,1.21,LosAngeles,EastBaja,Middle,20.22066116
83,LosAngeles8,27.572,0.885333333,LosAngeles,EastBaja,Middle,31.14307229
84,LosAngeles9,23.866,1.160333333,LosAngeles,EastBaja,Middle,20.56822752
85,LosAngeles10,26.859,1.170333333,LosAngeles,EastBaja,Middle,22.94987183
86,LosAngeles11,30.389,1.448333333,LosAngeles,EastBaja,Middle,20.98204833
87,LosAngeles12,37.007,1.411,LosAngeles,EastBaja,Middle,26.22749823
88,LosAngeles13,30.992,1.607,LosAngeles,EastBaja,Middle,19.28562539
89,LosAngeles14,31.542,1.280333333,LosAngeles,EastBaja,Middle,24.63577193
90,LosAngeles15,24.581,1.500333333,LosAngeles,EastBaja,Middle,16.38369251
91,LasLisas1,30.705,1.500333333,LasLisas,Sonora,North,20.46545212
92,LasLisas2,24.135,1.375,LasLisas,Sonora,North,17.55272727
93,LasLisas3,19.836,1.488333333,LasLisas,Sonora,North,13.32765957
94,LasLisas4,27.861,1.441,LasLisas,Sonora,North,19.33448994
95,LasLisas5,20.358,1.43,LasLisas,Sonora,North,14.23636364
96,LasLisas6,22.989,1.375,LasLisas,Sonora,North,16.71927273
97,LasLisas7,31.679,1.76,LasLisas,Sonora,North,17.99943182
98,LasLisas8,27.973,1.43,LasLisas,Sonora,North,19.56153846
99,LasLisas9,20.135,1.338666667,LasLisas,Sonora,North,15.04108566
100,LasLisas10,29.186,1.597666667,LasLisas,Sonora,North,18.26789067
101,LasLisas11,25.103,1.485,LasLisas,Sonora,North,16.9043771
102,LasLisas12,25.691,1.381666667,LasLisas,Sonora,North,18.59420989
103,LasLisas13,25.925,1.326666667,LasLisas,Sonora,North,19.54145729
104,LasLisas14,25.773,1.324,LasLisas,Sonora,North,19.46601208
105,LasLisas15,21.972,1.335333333,LasLisas,Sonora,North,16.45431852
106,SantaRosa1,33.901,1.035666667,SantaRosa,Sonora,Middle,32.73350499
107,SantaRosa2,24.899,1.103333333,SantaRosa,Sonora,Middle,22.56706949
108,SantaRosa3,33.136,1.054333333,SantaRosa,Sonora,Middle,31.42839077
109,SantaRosa4,33.372,1.39,SantaRosa,Sonora,Middle,24.00863309
110,SantaRosa5,31.444,1.045,SantaRosa,Sonora,Middle,30.08995215
111,SantaRosa6,28.064,1.359,SantaRosa,Sonora,Middle,20.65047829
112,SantaRosa7,30.247,1.299,SantaRosa,Sonora,Middle,23.28483449
113,SantaRosa8,27.598,1.286,SantaRosa,Sonora,Middle,21.46034215
114,SantaRosa9,30.265,1.049666667,SantaRosa,Sonora,Middle,28.83296285
115,SantaRosa10,30.463,1.338666667,SantaRosa,Sonora,Middle,22.7562251
116,SantaRosa11,25.487,1.677333333,SantaRosa,Sonora,Middle,15.19495231
117,SantaRosa12,21.461,1.185666667,SantaRosa,Sonora,Middle,18.10036548
118,SantaRosa13,27.044,1.32,SantaRosa,Sonora,Middle,20.48787879
119,SantaRosa14,23.271,1.21,SantaRosa,Sonora,Middle,19.2322314
120,SantaRosa15,23.564,1.159,SantaRosa,Sonora,Middle,20.3313201
